GRN no.,First Name,Middle Name,Last Name,Mother's Name,Student Mobile Number,Parents Mobile Number,Email,Course,Faculty,Samiti Year,College Year,Duration of Course (years),Hostel Allocation,Wing,Floor,Room no.
M2425-11522,Aditya,V,Deshmukh,Usha Rane,8042750911,9387016711,aditya.deshmukh15@example.com,BBA,Management,2024,Second,2,New Girls Hostel,A,1,101
M2425-11523,Sneha,T,Joshi,Lata Kulkarni,7604280077,8944260164,sneha.joshi75@example.com,B.Sc,Science,2021,Third,2,New Girls Hostel,A,1,102
M2425-11524,Aniket,D,Joshi,Lata Patil,9444455235,9595266365,aniket.joshi35@example.com,M.Com,Commerce,2021,Third,3,New Girls Hostel,A,1,103
M2425-11525,Aarav,T,Kulkarni,Rekha Deshmukh,8248374090,9399008489,aarav.kulkarni19@example.com,B.A,Arts,2024,Second,2,New Girls Hostel,A,1,104
M2425-11526,Aditya,D,Joshi,Sunita Joshi,9294405596,8861346454,aditya.joshi77@example.com,B.Tech,Engineering,2025,Second,4,New Girls Hostel,A,1,105
M2425-11527,Pooja,L,Rane,Sangeeta Joshi,7486518344,9517851392,pooja.rane69@example.com,M.Com,Commerce,2024,Second,4,New Girls Hostel,A,1,106
M2425-11528,Amol,L,Deshmukh,Archana Joshi,8791436003,9934367860,amol.deshmukh57@example.com,BCA,Computer Science,2023,Fourth,3,New Girls Hostel,A,1,107
M2425-11529,Aarav,V,Pawar,Sangeeta Kulkarni,9099925107,7615448292,aarav.pawar30@example.com,Diploma,Polytechnic,2024,First,3,New Girls Hostel,A,1,108
M2425-11530,Neha,S,Kadam,Sunita Pawar,6817914536,7904561960,neha.kadam78@example.com,BCA,Computer Science,2025,Fourth,3,New Girls Hostel,A,1,109
M2425-11531,Rohan,P,Pawar,Sunita Pawar,8861332812,6899478170,rohan.pawar28@example.com,B.A,Arts,2024,First,4,New Girls Hostel,A,1,110
M2425-11532,Karan,S,Joshi,Meena Kadam,8534894798,8878668697,karan.joshi65@example.com,B.Com,Commerce,2024,Third,3,New Girls Hostel,A,1,111
M2425-11533,Karan,T,Gavankar,Usha More,8452867953,7711502165,karan.gavankar68@example.com,B.Tech,Engineering,2023,First,3,New Girls Hostel,A,1,112
M2425-11534,Aarav,M,More,Archana Kadam,8341621086,7024187175,aarav.more90@example.com,M.Com,Commerce,2024,Fourth,3,New Girls Hostel,A,1,113
M2425-11535,Mitali,D,Shinde,Usha Kulkarni,9005921914,6710934605,mitali.shinde34@example.com,B.Com,Commerce,2021,Fourth,4,New Girls Hostel,A,2,201
M2425-11536,Isha,R,Kulkarni,Sangeeta Kulkarni,7189145278,6840792345,isha.kulkarni41@example.com,M.Com,Commerce,2024,Third,3,New Girls Hostel,A,2,202
M2425-11537,Aniket,T,More,Rekha Gavankar,6203356306,6977780267,aniket.more46@example.com,B.Sc,Science,2023,Third,4,New Girls Hostel,A,2,203
M2425-11538,Karan,P,Pawar,Lata Gavankar,9757033045,8256132116,karan.pawar93@example.com,M.Com,Commerce,2023,Second,2,New Girls Hostel,A,2,204
M2425-11539,Rohan,P,More,Rekha Pawar,6764539919,8813699371,rohan.more96@example.com,BCA,Computer Science,2023,Fourth,3,New Girls Hostel,A,2,205
M2425-11540,Rahul,T,Rane,Lata Pawar,9405083255,9477345907,rahul.rane26@example.com,BBA,Management,2023,First,2,New Girls Hostel,A,2,206
M2425-11541,Aarav,K,Patil,Neeta More,8913468417,6887025910,aarav.patil91@example.com,BBA,Management,2024,Second,2,New Girls Hostel,A,2,207
M2425-11542,Rahul,T,Gavankar,Sunita Rane,7483701109,6212135564,rahul.gavankar66@example.com,Diploma,Polytechnic,2021,Fourth,2,New Girls Hostel,A,2,208
